x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
102,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6
102,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
102,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
102,11,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,7,3,3,0,0,0,13,13,26
102,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3
102,14,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,4,13,17
102,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6
102,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,4,4,8
102,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
102,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
102,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6
102,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
102,40,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
102,43,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,6,9
102,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
102,47,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,11
102,48,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,9
102,49,27,17,0,13,35,19,21,19,29,23,29,31,9,22,22,24,20,20,14,8,0,218,194,412
102,50,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,0,0,0,6,6,12
103,0,3,7,0,3,3,9,16,3,14,3,12,12,11,12,10,8,9,0,0,3,3,65,90,155
103,1,11,21,0,20,12,15,27,21,15,16,38,36,28,35,23,32,28,12,19,5,3,186,227,413
103,2,36,45,0,49,41,58,48,37,48,48,46,54,56,55,46,48,50,35,29,9,0,406,410,816
103,3,6,0,0,0,0,0,6,3,6,3,3,3,7,0,0,3,6,0,0,0,0,21,20,41
103,4,0,10,0,0,0,6,9,12,3,0,0,6,8,3,4,8,3,0,3,3,0,38,40,78
103,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
103,6,0,0,0,0,3,3,3,0,0,3,3,0,0,0,0,3,0,3,0,0,0,14,6,20
103,7,0,3,0,0,3,5,5,0,0,3,0,5,0,6,3,6,3,0,3,0,0,23,19,42
103,8,3,3,0,3,0,6,0,9,0,3,0,3,3,6,3,3,3,0,0,0,0,20,16,36
103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
