x,y,resolution,ms_pop
3824000,3094000,1000,125
3824000,3095000,1000,1023
3824000,3096000,1000,71
3824000,3097000,1000,36
3824000,3098000,1000,48
3824000,3099000,1000,96
3824000,3100000,1000,36
3824000,3101000,1000,315
3824000,3102000,1000,41
3824000,3103000,1000,45
3824000,3104000,1000,60
3824000,3105000,1000,110
3824000,3106000,1000,13
3824000,3107000,1000,56
3824000,3108000,1000,19
3824000,3109000,1000,32
3824000,3110000,1000,261
3824000,3111000,1000,32
3824000,3113000,1000,767
3824000,3114000,1000,53
3824000,3116000,1000,8
3824000,3117000,1000,20
3824000,3118000,1000,86
3824000,3121000,1000,134
3824000,3122000,1000,646
3824000,3123000,1000,29
3824000,3124000,1000,42
3824000,3126000,1000,96
3824000,3127000,1000,20
3824000,3128000,1000,62
3824000,3129000,1000,137
3824000,3130000,1000,31
3824000,3131000,1000,43
3824000,3132000,1000,38
3824000,3134000,1000,224
3824000,3135000,1000,4
3824000,3136000,1000,5
3824000,3137000,1000,7
3824000,3138000,1000,16
3824000,3139000,1000,18
3824000,3140000,1000,18
3824000,3141000,1000,37
3824000,3142000,1000,529
3824000,3143000,1000,64
3824000,3144000,1000,13
3824000,3145000,1000,162
3824000,3147000,1000,1187
3825000,3095000,1000,704
3825000,3096000,1000,162
3825000,3097000,1000,15
3825000,3098000,1000,398
3825000,3099000,1000,446
3825000,3100000,1000,178
3825000,3101000,1000,29
3825000,3102000,1000,12
3825000,3103000,1000,21
3825000,3104000,1000,22
3825000,3105000,1000,146
3825000,3106000,1000,26
3825000,3107000,1000,111
3825000,3108000,1000,13
3825000,3109000,1000,27
3825000,3110000,1000,412
3825000,3111000,1000,94
3825000,3112000,1000,44
3825000,3113000,1000,57
3825000,3114000,1000,44
3825000,3116000,1000,31
3825000,3117000,1000,11
3825000,3118000,1000,22
3825000,3119000,1000,744
3825000,3121000,1000,44
3825000,3122000,1000,24
3825000,3123000,1000,41
3825000,3124000,1000,53
3825000,3125000,1000,82
3825000,3126000,1000,7
3825000,3127000,1000,338
3825000,3128000,1000,172
3825000,3129000,1000,114
3825000,3130000,1000,22
3825000,3131000,1000,29
3825000,3132000,1000,30
3825000,3133000,1000,61
3825000,3134000,1000,8
3825000,3135000,1000,19
3825000,3136000,1000,6
3825000,3137000,1000,172
3825000,3138000,1000,10
3825000,3139000,1000,9
3825000,3140000,1000,8
3825000,3141000,1000,29
3825000,3142000,1000,48
3825000,3143000,1000,6
3825000,3144000,1000,21
3825000,3145000,1000,123
3826000,3095000,1000,9
3826000,3096000,1000,348
3826000,3097000,1000,55
3826000,3098000,1000,202
3826000,3099000,1000,25
3826000,3100000,1000,53
3826000,3101000,1000,87
3826000,3102000,1000,39
3826000,3103000,1000,30
3826000,3107000,1000,40
3826000,3108000,1000,43
3826000,3109000,1000,27
3826000,3110000,1000,20
3826000,3111000,1000,15
3826000,3112000,1000,39
3826000,3115000,1000,63
3826000,3117000,1000,10
3826000,3118000,1000,39
3826000,3121000,1000,74
3826000,3122000,1000,50
3826000,3124000,1000,43
3826000,3125000,1000,30
3826000,3126000,1000,17
3826000,3127000,1000,57
3826000,3128000,1000,85
3826000,3129000,1000,52
3826000,3130000,1000,23
3826000,3131000,1000,11
3826000,3132000,1000,18
3826000,3133000,1000,69
3826000,3134000,1000,34
3826000,3135000,1000,65
3826000,3136000,1000,113
3826000,3137000,1000,264
3826000,3138000,1000,203
3826000,3139000,1000,19
3826000,3140000,1000,11
3826000,3141000,1000,27
3826000,3142000,1000,56
3826000,3143000,1000,9
3826000,3144000,1000,14
3826000,3148000,1000,3174
3827000,3095000,1000,14
3827000,3098000,1000,42
3827000,3099000,1000,83
3827000,3100000,1000,53
3827000,3101000,1000,220
3827000,3102000,1000,39
3827000,3103000,1000,119
3827000,3105000,1000,145
3827000,3108000,1000,528
3827000,3109000,1000,43
3827000,3110000,1000,42
3827000,3111000,1000,22
3827000,3112000,1000,24
3827000,3113000,1000,256
3827000,3114000,1000,52
3827000,3115000,1000,46
3827000,3116000,1000,82
3827000,3117000,1000,31
3827000,3119000,1000,143
3827000,3120000,1000,899
3827000,3121000,1000,643
3827000,3122000,1000,18
3827000,3123000,1000,91
3827000,3125000,1000,98
3827000,3126000,1000,94
3827000,3127000,1000,28
3827000,3128000,1000,25
3827000,3129000,1000,45
3827000,3130000,1000,31
3827000,3131000,1000,255
3827000,3133000,1000,81
3827000,3134000,1000,65
3827000,3135000,1000,35
3827000,3136000,1000,5
3827000,3138000,1000,29
3827000,3139000,1000,67
