x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
6,47,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,10,0,10,20
6,74,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
6,77,0,8,0,6,0,3,8,3,3,5,6,4,3,3,0,3,0,3,0,0,30,6,36,66
6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,79,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
6,82,11,9,0,4,0,8,7,10,12,9,15,10,8,14,9,11,7,9,0,0,70,6,81,151
6,83,0,0,0,3,0,0,3,3,3,6,0,0,6,3,3,3,3,0,0,0,16,6,20,36
6,84,0,0,0,0,0,6,0,3,3,10,3,4,3,3,0,0,0,0,0,0,18,3,16,34
6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6,86,0,0,0,3,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,6,0,4,10
6,87,7,0,0,3,0,0,0,5,6,8,7,0,11,0,3,0,3,3,0,0,27,0,25,52
6,88,0,0,0,3,0,0,3,3,3,0,0,4,6,0,0,0,0,0,0,0,8,0,9,17
6,105,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,3,0,3,6
6,118,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,0,3,0,7,0,6,13
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3
7,9,3,0,0,0,0,0,3,3,3,3,3,0,3,0,0,0,0,0,0,0,9,3,15,24
7,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,4,7
7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
7,45,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,7
7,46,0,3,0,3,0,3,3,3,0,6,3,3,3,3,0,3,3,0,0,0,19,3,18,37
7,47,3,0,0,3,0,3,0,0,0,4,4,0,0,3,3,0,0,3,0,0,14,0,21,35
7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,6
7,81,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
7,82,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,83,0,0,0,0,0,6,0,3,3,3,7,3,7,3,0,3,0,0,3,0,24,6,22,46
7,84,159,173,0,164,193,179,163,146,142,147,147,173,174,187,197,169,126,93,44,14,1470,187,1503,2973
7,85,4,4,0,10,3,7,6,10,9,6,10,8,3,3,6,3,0,3,0,0,46,4,48,94
7,86,3,7,0,11,3,5,3,3,3,9,0,0,6,3,10,0,0,0,0,3,33,6,40,73
7,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,95,3,0,0,0,0,3,0,0,0,0,3,0,6,3,3,3,0,0,0,0,15,0,9,24
7,104,0,0,0,0,6,0,0,0,3,3,0,0,0,6,3,7,3,0,0,0,15,0,20,35
7,105,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,3,3,6
7,115,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,5,8
7,116,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,3
8,9,6,3,0,7,0,0,3,3,3,12,6,6,8,19,8,0,6,0,0,0,50,6,63,113
8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8,21,3,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3,0,0,0,0,9,0,9,18
8,26,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,8
8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,45,3,0,0,3,0,0,0,0,4,6,0,0,3,0,4,3,0,0,0,0,14,0,19,33
8,46,18,10,0,18,10,21,9,14,18,17,13,17,12,10,16,14,25,17,4,0,139,12,131,270
8,47,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,6,11
8,48,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,6
8,53,0,3,0,0,0,0,0,0,0,0,0,3,3,3,6,3,3,0,0,0,11,0,16,27
8,56,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,6,0,5,11
8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
8,60,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,78,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,79,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3
8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3
8,83,3,0,0,3,3,0,0,6,3,6,3,0,3,0,3,6,3,0,0,0,17,4,25,42
8,84,41,56,0,55,41,67,35,44,41,49,56,46,47,54,56,37,29,6,5,0,421,70,423,844
8,85,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,6
8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,105,0,3,0,3,0,0,3,0,0,0,3,0,3,0,6,0,3,0,3,0,13,3,13,26
8,114,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,3,3,0,0,4,0,10,14
8,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,3,6
8,116,4,9,0,0,0,0,0,4,0,4,8,0,8,12,9,8,3,4,0,0,35,6,48,83
8,117,3,0,0,0,0,0,3,0,0,0,0,0,6,3,3,3,0,0,0,0,8,0,9,17
8,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
8,122,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
8,123,0,3,0,0,0,6,0,0,0,0,0,0,3,3,0,3,0,0,0,0,7,3,7,14
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
