x,y,value
4574,4902,267
4584,4902,348
4744,4902,174
4784,4902,9
4794,4902,12
4804,4902,10
4814,4902,139
4824,4902,388
4834,4902,56
4844,4902,24
4864,4902,13
4884,4902,60
4894,4902,28
4904,4902,21
4914,4902,22
4924,4902,137
4934,4902,153
4944,4902,16
4954,4902,218
4964,4902,174
4974,4902,53
4984,4902,102
4994,4902,342
5004,4902,449
5014,4902,12111
5024,4902,2533
5034,4902,12
5054,4902,77
5064,4902,4
5084,4902,115
5104,4902,3
5114,4902,52
5124,4902,129
5134,4902,60
5154,4902,116
5164,4902,144
5174,4902,386
5184,4902,58
5194,4902,134
5204,4902,20
2764,4892,63
2774,4892,2043
2784,4892,607
2814,4892,694
2844,4892,17
2874,4892,41
3164,4892,36
3234,4892,135
4484,4892,25
4494,4892,495
4504,4892,253
4534,4892,416
4544,4892,8
4554,4892,3044
4584,4892,38
4724,4892,7
4744,4892,248
4784,4892,1
4804,4892,7
4834,4892,20
4844,4892,45
4854,4892,7
4864,4892,9
4874,4892,8
4884,4892,34
4894,4892,38
4914,4892,17
4924,4892,67
4934,4892,439
4944,4892,15
4954,4892,1
4964,4892,144
4974,4892,1
4994,4892,8
5004,4892,18
5014,4892,35072
5024,4892,1845
5034,4892,387
5044,4892,59
5054,4892,174
5064,4892,313
5074,4892,172
5084,4892,174
5094,4892,8
5114,4892,45
5124,4892,109
5134,4892,141
5144,4892,29
5154,4892,89
5164,4892,154
5174,4892,434
5184,4892,123
5194,4892,222
5204,4892,56
5214,4892,45
2774,4882,126
2784,4882,34
2834,4882,2
2854,4882,1
2874,4882,3
2884,4882,567
2894,4882,9
2904,4882,2
3144,4882,3
3194,4882,3337
3204,4882,1
4494,4882,764
4504,4882,145
4514,4882,278
4524,4882,262
4534,4882,63
4544,4882,7
4554,4882,997
4654,4882,29
4674,4882,14
4684,4882,13
4694,4882,8
4724,4882,2
4754,4882,1
4784,4882,3
4804,4882,251
4824,4882,29
4844,4882,15
4854,4882,94
4864,4882,11
4884,4882,71
4894,4882,3
4904,4882,58
4914,4882,24
4924,4882,56
4934,4882,551
4944,4882,9
4954,4882,147
4964,4882,16
4974,4882,4
4984,4882,2
4994,4882,17
5004,4882,2325
5014,4882,72
5024,4882,174
5034,4882,51
5044,4882,9
5064,4882,39
5074,4882,114
5084,4882,47
5094,4882,3
5104,4882,61
5114,4882,68
5124,4882,83
5134,4882,1693
5144,4882,220
5154,4882,221
5164,4882,104
5174,4882,658
5184,4882,6327
5194,4882,204
5204,4882,49
5214,4882,52
5224,4882,2
2844,4872,2342
2854,4872,24
2864,4872,371
2874,4872,351
2884,4872,769
3194,4872,6
3214,4872,667
3224,4872,1
4464,4872,6
4474,4872,58
4484,4872,176
4494,4872,129
4504,4872,16
4524,4872,362
4534,4872,5
4554,4872,369
4564,4872,5
4714,4872,12
4724,4872,66
4744,4872,6
4774,4872,1
4784,4872,4
4804,4872,3
4814,4872,5
4844,4872,2
4854,4872,15
4864,4872,24
4874,4872,6
4884,4872,46
4904,4872,12
4924,4872,742
4934,4872,4
4944,4872,155
4954,4872,85
4964,4872,97
4974,4872,31
4984,4872,12
4994,4872,35
5004,4872,165
5024,4872,55
5034,4872,129
5044,4872,77
5054,4872,34
5064,4872,14
5074,4872,38
5084,4872,44
5094,4872,4
5104,4872,2
5114,4872,4
5124,4872,27
5134,4872,49
5144,4872,15
5154,4872,12
5164,4872,72
5174,4872,116
5184,4872,4690
5194,4872,189
5204,4872,61
5214,4872,30
5224,4872,28
2824,4862,1897
2834,4862,937
2844,4862,6288
2854,4862,179
2864,4862,76
2874,4862,48
2884,4862,381
2894,4862,12
2904,4862,15
3164,4862,80
3174,4862,2
3204,4862,10
4464,4862,25
4474,4862,717
4484,4862,2436
4524,4862,86
4534,4862,10
4554,4862,31
4564,4862,74
4684,4862,5
4704,4862,13
4714,4862,4
4744,4862,119
4754,4862,2913
4764,4862,6
4774,4862,7
4784,4862,10
4794,4862,1
4804,4862,11
4844,4862,16
4864,4862,12
4874,4862,43
4884,4862,115
4894,4862,168
4904,4862,34
4914,4862,7
4924,4862,2266
4934,4862,1230
4944,4862,45
4954,4862,22
4964,4862,57
4974,4862,15
4984,4862,48
4994,4862,37
5004,4862,271
5014,4862,57
5024,4862,77
5044,4862,20
5054,4862,110
5074,4862,34
5084,4862,36
5094,4862,62
5104,4862,28
5114,4862,12
5124,4862,29
5134,4862,153
5144,4862,83
5154,4862,82
5164,4862,74
5174,4862,173
5184,4862,18
5194,4862,140
5204,4862,34
5214,4862,16
5224,4862,4
2834,4852,694
2844,4852,113
2854,4852,150
2864,4852,173
