x,y,value
42,16,30124
42,34,117392
42,35,117392
42,36,117392
42,56,1034605
42,57,1034605
42,58,1034605
42,61,1196458
42,62,1196945
42,63,1196945
42,64,1105629
42,65,1201253
42,66,1201253
42,67,1201253
42,75,297382
42,76,297382
42,77,297382
42,79,344583
42,80,353665
42,81,353665
42,82,352676
42,101,21738
42,102,21738
42,103,21738
42,116,105965
42,117,105965
42,118,105965
43,8,86476
43,9,86476
43,10,86476
43,14,29452
43,15,29452
43,16,29452
43,34,117392
43,35,117392
43,36,117392
43,54,963640
43,55,963640
43,56,963640
43,62,1105629
43,63,1105629
43,64,1105629
43,65,1201253
43,66,1201253
43,67,1201253
43,73,305111
43,74,305111
43,75,305111
43,79,344583
43,80,353665
43,81,353665
43,82,352676
43,87,145574
43,88,145574
43,89,145574
43,101,21738
43,102,58336
43,103,58336
43,104,58336
43,111,63105
43,112,63105
43,113,63105
44,5,93639
44,6,93639
44,7,93639
44,8,86476
44,9,86476
44,10,86476
44,14,29452
44,15,29452
44,16,29452
44,34,161724
44,35,161724
44,36,161724
44,54,963640
44,55,963640
44,56,963640
44,62,1105629
44,63,1105629
44,64,1105629
44,73,305221
44,74,305221
44,75,305221
44,79,344583
44,80,344583
44,81,344583
44,87,145574
44,88,145599
44,89,145599
44,90,128540
44,102,58336
44,103,58336
44,104,58336
44,111,63105
44,112,63105
44,113,63105
45,4,93539
45,5,93750
45,6,93750
45,7,93639
45,8,86476
45,9,86476
45,10,86476
45,12,162441
45,13,162441
45,14,162441
45,15,393100
45,16,393100
45,17,393100
45,34,97923
45,35,97923
45,36,97923
45,49,903085
45,50,903085
45,51,903085
45,54,963640
45,55,963640
45,56,963640
45,62,1097590
45,63,1097590
45,64,1097590
45,67,1004662
45,68,1004662
45,69,1004662
45,73,305221
45,74,305221
45,75,305221
45,87,145574
45,88,145599
45,89,145599
45,90,128540
45,102,58336
45,103,58336
45,104,58336
45,111,63105
45,112,63105
45,113,63105
45,126,158231
45,127,158231
46,1,75885
46,2,75885
46,3,75885
46,4,93539
46,5,93750
46,6,93750
46,7,93639
46,12,162441
46,13,162441
46,14,162441
46,15,393100
46,16,393100
46,17,393100
46,34,97923
46,35,98490
46,36,98490
46,37,98413
46,49,903085
46,50,903085
46,51,903085
46,52,994917
46,53,994917
46,54,994917
46,62,1097590
46,63,1097590
46,64,1097590
46,67,1004662
46,68,1004662
46,69,1004662
46,73,249453
46,74,249453
46,75,249453
46,76,235025
46,77,235025
46,78,235025
46,88,128540
46,89,128540
46,90,128540
46,91,128029
46,102,58336
46,103,58336
46,104,58336
46,126,158231
46,127,158231
47,1,75885
47,2,75885
47,3,75885
47,4,93539
47,5,93539
47,6,93539
47,12,162441
47,13,162441
47,14,162441
47,15,393100
47,16,393100
47,17,393100
47,19,385993
47,20,385993
47,21,385993
47,24,384128
47,25,384128
47,26,384128
47,35,98413
47,36,98413
47,37,98413
47,47,902037
47,48,902037
47,49,905019
47,50,903085
47,51,903085
47,52,994917
47,53,994917
47,54,994917
47,62,1097590
47,63,1097590
47,64,1097590
47,67,1004662
47,68,1007659
47,69,1007659
47,70,941282
47,73,247599
47,74,247599
47,75,247599
47,76,235025
47,77,235025
47,78,235025
47,89,128029
47,90,128029
47,91,128029
47,102,40582
47,103,40582
47,104,40582
47,110,66599
47,111,66599
47,112,66599
47,126,158231
47,127,158231
48,1,76218
48,2,76218
48,3,76218
48,19,385993
48,20,385993
48,21,385993
48,24,384128
48,25,384128
48,26,384128
48,35,98490
48,36,98490
48,37,98490
48,47,902037
48,48,902037
